Actual,Predicted,Error
0.1125,0.05914797765640022,0.05335202234359978
0.6875,0.6836447746576915,0.0038552253423085325
0.65,0.6872025604997873,-0.03720256049978732
0.5125,0.559748063994751,-0.04724806399475101
0.2,0.18482358124038847,0.015176418759611537
0.8125,0.7477763167559022,0.06472368324409783
0.1375,0.18498529877866557,-0.04748529877866556
0.8125,0.749231774600396,0.06326822539960397
0.0125,0.06076515303917112,-0.048265153039171116
0.75,0.686717407884956,0.06328259211504395
0.225,0.24701451287927423,-0.022014512879274223
0.9625,0.9359662870553305,0.026533712944669552
0.0625,0.11988345145079218,-0.05738345145079218
0.6125,0.6199983851743118,-0.0074983851743117835
0.1125,0.12214749698667143,-0.00964749698667143
0.7375,0.6862322552701248,0.051267744729875275
0.55,0.5574840184588719,-0.007484018458871811
0.0375,0.06189717580711075,-0.024397175807110753
0.6125,0.6208069728656973,-0.00830697286569726
0.7125,0.6833213395811373,0.029178660418862745
0.1625,0.18547045139349683,-0.02297045139349682
0.825,0.8715113098805654,-0.0465113098805654
0.925,0.9349959818256679,-0.009995981825667855
0.95,0.9348342642873908,0.015165735712609152
0.95,0.9345108292108366,0.015489170789163342
0.875,0.8104524010096192,0.06454759899038076
0.3875,0.3709112235422145,0.016588776457785503
0.8,0.7472911641410709,0.05270883585892916
0.3625,0.3731752690780938,-0.010675269078093796
0.9875,0.933378806442897,0.0541211935571031
0.5875,0.5605566516861364,0.02694334831386358
0.5875,0.561526956915799,0.02597304308420101
0.6375,0.6870408429615102,-0.04954084296151029
0.2875,0.24830825318549096,0.039191746814509015
0.45,0.4964251095879257,-0.04642510958792567
0.6875,0.7451888361434689,-0.05768883614346887
0.7125,0.7466442939879625,-0.03414429398796248
0.9625,0.9353194169022221,0.027180583097777933
0.4,0.4331021551811003,-0.03310215518110027
0.7125,0.686717407884956,0.025782592115043967
0.8125,0.8086735080885712,0.0038264919114288087
0.775,0.8109375536244505,-0.0359375536244505
0.275,0.31001403220954543,-0.03501403220954541
0.65,0.6868791254232332,-0.03687912542323313
0.6,0.5600714990713052,0.03992850092869482
0.2125,0.24733794795582842,-0.034837947955828424
0.1,0.12457326006082779,-0.024573260060827787
0.25,0.18336812339589467,0.06663187660410533
0.95,0.935157699363945,0.014842300636054961
0.3625,0.3730135515398167,-0.010513551539816701
0.4875,0.4331021551811003,0.0543978448188997
0.7125,0.7471294466027938,-0.03462944660279377
0.9125,0.8713495923422883,0.04115040765771172
0.4,0.4334255902576544,-0.0334255902576544
0.5625,0.5620121095306303,0.0004878904693697006
0.4,0.3697792007742749,0.030220799225725126
0.6375,0.6216155605570826,0.015884439442917397
0.5875,0.5594246289181968,0.028075371081803246
0.6125,0.6237178885546848,-0.011217888554684752
0.575,0.624041323631239,-0.04904132363123903
0.475,0.4957782394348173,-0.020778239434817325
0.6875,0.6839682097342457,0.003531790265754342
0.5,0.4345576130255941,0.06544238697440591
0.1,0.11972173391251509,-0.019721733912515083
0.25,0.3113077725157622,-0.06130777251576219
0.1,0.0578542373501835,0.0421457626498165
0.5,0.4952930868199861,0.0047069131800139274
0.6125,0.5574840184588719,0.05501598154112819
0.675,0.620321820250866,0.054678179749134026
0.3875,0.3704260709273833,0.017073929072616734
0.9125,0.9370983098232701,-0.02459830982327016
0.325,0.3103374672860996,0.01466253271390039
0.3625,0.3075882691353891,0.054911730864610875
0.1875,0.18369155847244883,0.003808441527551165
0.175,0.18304468831934048,-0.008044688319340493
0.5625,0.49691026220275697,0.06558973779724303
0.6875,0.6847767974256309,0.002723202574369088
0.3625,0.3730135515398167,-0.010513551539816701
0.8875,0.8698941344977944,0.017605865502205553
0.9375,0.8698941344977944,0.0676058655022056
0.2375,0.24507390241994917,-0.00757390241994918
0.85,0.8715113098805654,-0.021511309880565377
0.1,0.05801595488846059,0.041984045111539414
0.3875,0.37366042169292507,0.01383957830707494
0.5,0.4952930868199861,0.0047069131800139274
0.475,0.436174788408365,0.03882521159163499
0.1375,0.18433842862555722,-0.046838428625557205
0.25,0.24846997072376806,0.0015300292762319423
0.4375,0.49868915512380496,-0.06118915512380496
0.975,0.9366131572084389,0.03838684279156113
0.2,0.18433842862555722,0.015661571374442795
0.5,0.4358513533318108,0.0641486466681892
0.125,0.12376467236944234,0.001235327630557656
0.5375,0.49885087266208206,0.03864912733791792
0.075,0.05817767242673768,0.016822327573262318
0.2625,0.3096905971329913,-0.047190597132991285
0.5875,0.5621738270689074,0.025326172931092628
0.6,0.5589394763033657,0.041060523696634266
0.7875,0.7456739887583002,0.04182601124169982
0.4375,0.3730135515398167,0.06448644846018331
0.725,0.7471294466027938,-0.022129446602793812
0.3125,0.24879340580032222,0.06370659419967778
0.5,0.5602332166095823,-0.06023321660958225
0.55,0.495131369281709,0.05486863071829107
0.4125,0.3701026358508291,0.04239736414917089
0.7,0.6842916448107996,0.01570835518920033
0.2875,0.24895512333859932,0.03854487666140066
0.25,0.3103374672860996,-0.06033746728609962
0.35,0.3103374672860996,0.039662532713900356
0.8125,0.8104524010096192,0.002047598990380761
0.6,0.6214538430188057,-0.021453843018805707
0.8125,0.8724816151102279,-0.059981615110227926
0.1,0.12101547421873181,-0.021015474218731803
0.75,0.8080266379354628,-0.05802663793546281
0.9,0.8721581800336737,0.027841819966326287
0.6875,0.7497169272152273,-0.06221692721522731
0.125,0.12150062683356308,0.00349937316643692
0.925,0.9370983098232701,-0.012098309823270093
0.1125,0.05801595488846059,0.05448404511153941
0.7625,0.811746141315836,-0.049246141315836045
0.6125,0.5582926061502573,0.05420739384974271
0.4125,0.3709112235422145,0.04158877645778547
0.325,0.3121163602071476,0.012883639792852397
0.9125,0.8702175695743486,0.042282430425651385
0.375,0.3113077725157622,0.0636922274842378
0.225,0.24717623041755132,-0.022176230417551318
0.5875,0.5603949341478593,0.027105065852140675
0.35,0.369940918312552,-0.019940918312552014
0.4375,0.4327787201045461,0.0047212798954539
0.9,0.8736136378781676,0.02638636212183243
0.075,0.06141202319227948,0.013587976807720517
0.4375,0.49691026220275697,-0.05941026220275697
0.1375,0.12004516898906926,0.017454831010930746
0.6875,0.7463208589114085,-0.058820858911408536
0.6875,0.6245264762460703,0.06297352375392973
0.8375,0.8120695763923902,0.02543042360760983
0.5625,0.5586160412268115,0.0038839587731884784
0.3625,0.3733369866163709,-0.010836986616370892
0.1875,0.12457326006082779,0.06292673993917221
